"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","8264-020-024","Warehousing, Distribution, Storage","1996","3","69000"
"Existing","8168-027-015","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","8168-007-020","Warehousing, Distribution, Storage","1999","3","69000"
"Existing","8122-005-039","Warehousing, Distribution, Storage","2004","3","69000"
"Existing","8069-015-057","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","8011-017-070","Warehousing, Distribution, Storage","2008","3","69000"
"Existing","7351-034-067","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","7339-013-019","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","7318-009-032","Warehousing, Distribution, Storage","1998","3","69000"
"Existing","7315-003-058","Warehousing, Distribution, Storage","1998","3","69000"
"Existing","7212-022-013","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","6336-010-015","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","6324-015-400","Warehousing, Distribution, Storage","1985","3","69000"
"Existing","6304-021-039","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","6304-011-005","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","6242-020-049","Warehousing, Distribution, Storage","1988","3","69000"
"Existing","4286-006-034","Warehousing, Distribution, Storage","1988","3","69000"
"Existing","4129-038-025","Warehousing, Distribution, Storage","1980","3","69000"
"Existing","4129-038-015","Warehousing, Distribution, Storage","1992","3","69000"
"Existing","3271-028-124","Warehousing, Distribution, Storage","2006","3","69000"
"Existing","2515-009-015","Warehousing, Distribution, Storage","1981","3","69000"
"Existing","2514-002-075","Warehousing, Distribution, Storage","1987","3","69000"
"Planned and Approved","redwood industrial center","TBD","2025","3","69000"
"Planned and Approved","fontana foothills commerce center","TBD","2025","3","69000"
"Planned and Approved","fontana foothills commerce center","TBD","2025","3","69000"
"Existing","541231007","warehouse/dry storage","1980","3","68000"
"Existing","417140042","warehouse/dry storage","1987","3","68000"
"Existing","869281020","warehouse/dry storage","1980","3","68000"
"Existing","247140009","warehouse/dry storage","1980","3","68000"
"Existing","442120002","warehouse/dry storage","1980","3","68000"
"Existing","456040011","warehouse/dry storage","2000","3","68000"
"Existing","118150010","warehouse/dry storage","2002","3","68000"
"Existing","020903266","storage warehouse","2018","3","68000"
"Existing","023113190","storage warehouse","1995","3","68000"
"Existing","023805125","storage warehouse","1989","3","68000"
"Existing","023813303","storage warehouse","1989","3","68000"
"Existing","024017136","storage warehouse","2018","3","68000"
"Existing","023515220","storage warehouse","1985","3","68000"
"Existing","023603103","storage warehouse","1987","3","68000"
"Existing","025810219","storage warehouse","2021","3","68000"
"Existing","025409121","distribution warehouse","1985","3","68000"
"Existing","041519116","storage warehouse","1987","3","68000"
"Existing","041527204","storage warehouse","1984","3","68000"
"Existing","101659111","distribution warehouse","1984","3","68000"
"Existing","102120209","storage warehouse","2004","3","68000"
"Existing","8619-004-027","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","8546-031-047","Warehousing, Distribution, Storage","1995","3","68000"
"Existing","8378-014-011","Warehousing, Distribution, Storage","1985","3","68000"
"Existing","8264-023-016","Warehousing, Distribution, Storage","2001","3","68000"
"Existing","8242-015-041","Warehousing, Distribution, Storage","1981","3","68000"
"Existing","8009-007-042","Warehousing, Distribution, Storage","1987","3","68000"
"Existing","7425-039-004","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","7351-001-027","Warehousing, Distribution, Storage","1994","3","68000"
"Existing","7318-024-012","Warehousing, Distribution, Storage","1985","3","68000"
"Existing","7318-022-020","Warehousing, Distribution, Storage","1985","3","68000"
"Existing","7318-009-104","Warehousing, Distribution, Storage","1989","3","68000"
"Existing","7306-019-084","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","7162-002-080","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","7157-013-025","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","7010-016-041","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","7005-006-072","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","6336-004-041","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","6332-008-036","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","6332-002-011","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","6310-027-028","Warehousing, Distribution, Storage","1987","3","68000"
"Existing","6308-016-022","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","6224-023-021","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","6139-011-023","Warehousing, Distribution, Storage","2015","3","68000"
"Existing","6126-011-024","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","5410-014-020","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","5122-020-026","Warehousing, Distribution, Storage","1985","3","68000"
"Existing","4205-029-002","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","4126-014-060","Warehousing, Distribution, Storage","1987","3","68000"
"Existing","4061-014-007","Warehousing, Distribution, Storage","1980","3","68000"
"Existing","3271-028-116","Warehousing, Distribution, Storage","2007","3","68000"
"Existing","3005-046-024","Warehousing, Distribution, Storage","2006","3","68000"
"Existing","2866-013-096","Warehousing, Distribution, Storage","1985","3","68000"
"Existing","2866-011-010","Warehousing, Distribution, Storage","1984","3","68000"
"Existing","2417-013-013","Warehousing, Distribution, Storage","1981","3","68000"
"Planned and Approved","10840 cherry ave. warehouse","TBD","2025","3","68000"
"Planned and Approved","santa ana ave industrial development","TBD","2025","3","68000"
"Existing","210140013","warehouse/dry storage","1980","3","67000"
"Existing","548110014","warehouse/dry storage","1986","3","67000"
"Existing","297231008","light industrial","1980","3","67000"
"Existing","016740106","distribution warehouse","2008","3","67000"
"Existing","020915149","storage warehouse","2014","3","67000"
"Existing","021127551","storage warehouse","2007","3","67000"
"Existing","022926219","storage warehouse","1986","3","67000"
"Existing","023818526","storage warehouse","1986","3","67000"
"Existing","023801235","storage warehouse","2017","3","67000"
"Existing","028009147","storage warehouse","1987","3","67000"
"Existing","039714302","storage warehouse","1982","3","67000"
"Existing","041524201","storage warehouse","1980","3","67000"
"Existing","049723129","storage warehouse","1980","3","67000"
"Existing","102211114","distribution warehouse","1993","3","67000"
"Existing","120131146","storage warehouse","2005","3","67000"
"Existing","312926144","storage warehouse","1995","3","67000"
"Existing","8762-002-004","Warehousing, Distribution, Storage","1987","3","67000"
"Existing","8760-029-029","Warehousing, Distribution, Storage","1990","3","67000"
"Existing","8760-009-019","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","8378-013-051","Warehousing, Distribution, Storage","1998","3","67000"
"Existing","8365-016-037","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","8206-019-073","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","8202-033-024","Warehousing, Distribution, Storage","2010","3","67000"
"Existing","8082-033-036","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","8059-004-003","Warehousing, Distribution, Storage","2013","3","67000"
"Existing","7339-016-013","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","7319-039-104","Warehousing, Distribution, Storage","2002","3","67000"
"Existing","7319-033-046","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","7319-004-028","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","7318-021-044","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","7318-020-034","Warehousing, Distribution, Storage","2000","3","67000"
"Existing","7318-019-040","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","7306-021-016","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","7306-002-059","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","7212-021-035","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","7003-001-041","Warehousing, Distribution, Storage","1989","3","67000"
"Existing","6369-027-023","Warehousing, Distribution, Storage","2003","3","67000"
"Existing","6356-017-022","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","6310-027-048","Warehousing, Distribution, Storage","1989","3","67000"
"Existing","6303-002-009","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","6283-013-011","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","6283-013-010","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","6233-003-017","Warehousing, Distribution, Storage","1986","3","67000"
"Existing","6001-014-900","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","5342-001-026","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","5192-005-008","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","5170-012-003","Warehousing, Distribution, Storage","2009","3","67000"
"Existing","5167-010-013","Warehousing, Distribution, Storage","1987","3","67000"
"Existing","3006-023-020","Warehousing, Distribution, Storage","1980","3","67000"
"Existing","2836-069-024","Warehousing, Distribution, Storage","2006","3","67000"
"Existing","2603-007-036","Warehousing, Distribution, Storage","2001","3","67000"
"Existing","163400005","warehouse/dry storage","1998","3","66000"
"Existing","115580028","warehouse/dry storage","1999","3","66000"
"Existing","021037101","storage warehouse","1980","3","66000"
"Existing","022911153","storage warehouse","1991","3","66000"
"Existing","023820127","distribution warehouse","1990","3","66000"
"Existing","023819318","storage warehouse","1986","3","66000"
"Existing","8762-001-033","Warehousing, Distribution, Storage","2000","3","66000"
"Existing","8760-024-037","Warehousing, Distribution, Storage","1999","3","66000"
"Existing","8760-010-031","Warehousing, Distribution, Storage","2003","3","66000"
"Existing","8719-001-017","Warehousing, Distribution, Storage","1987","3","66000"
"Existing","8563-003-014","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","8545-024-003","Warehousing, Distribution, Storage","1987","3","66000"
"Existing","8430-015-021","Warehousing, Distribution, Storage","2002","3","66000"
"Existing","8366-008-902","Warehousing, Distribution, Storage","1989","3","66000"
"Existing","8242-011-062","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","8167-005-018","Warehousing, Distribution, Storage","2001","3","66000"
"Existing","8069-007-037","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","8059-030-035","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","8011-017-025","Warehousing, Distribution, Storage","1981","3","66000"
"Existing","8011-007-055","Warehousing, Distribution, Storage","2007","3","66000"
"Existing","8009-025-058","Warehousing, Distribution, Storage","1989","3","66000"
"Existing","8005-014-076","Warehousing, Distribution, Storage","1990","3","66000"
"Existing","7347-018-077","Warehousing, Distribution, Storage","2008","3","66000"
"Existing","7319-039-105","Warehousing, Distribution, Storage","2002","3","66000"
"Existing","7318-015-014","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","7306-023-047","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","7306-014-046","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","7306-003-051","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","7005-006-071","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6348-004-019","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6336-020-033","Warehousing, Distribution, Storage","1985","3","66000"
"Existing","6336-013-006","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6336-011-008","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6335-014-025","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6332-017-024","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6332-014-036","Warehousing, Distribution, Storage","2008","3","66000"
"Existing","6332-006-815","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6310-014-024","Warehousing, Distribution, Storage","1999","3","66000"
"Existing","6308-016-028","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6302-019-021","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","6121-002-017","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","5342-001-022","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","5174-001-014","Warehousing, Distribution, Storage","1989","3","66000"
"Existing","5167-009-029","Warehousing, Distribution, Storage","1987","3","66000"
"Existing","5128-021-023","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","5118-001-027","Warehousing, Distribution, Storage","1980","3","66000"
"Existing","3271-025-082","Warehousing, Distribution, Storage","1998","3","66000"
"Existing","2866-010-005","Warehousing, Distribution, Storage","1981","3","66000"
"Existing","2243-001-031","Warehousing, Distribution, Storage","2020","3","66000"
"Planned and Approved","slover logistics center","TBD","2025","3","66000"
"Existing","172110002","warehouse/dry storage","2005","3","65000"
"Existing","921480044","warehouse/dry storage","2009","3","65000"
"Existing","263020081","light industrial","2016","3","65000"
"Existing","023108101","storage warehouse","2002","3","65000"
"Existing","023705228","storage warehouse","2020","3","65000"
"Existing","023805247","distribution warehouse","2001","3","65000"
"Existing","028101146","storage warehouse","1980","3","65000"
"Existing","102250105","storage warehouse","1998","3","65000"
"Existing","105350107","storage warehouse","2014","3","65000"
"Existing","111010101","distribution warehouse","1998","3","65000"
"Existing","8760-023-033","Warehousing, Distribution, Storage","2007","3","65000"
"Existing","8707-006-015","Warehousing, Distribution, Storage","1985","3","65000"
"Existing","8435-011-003","Warehousing, Distribution, Storage","1987","3","65000"
"Existing","8382-019-015","Warehousing, Distribution, Storage","1982","3","65000"
"Existing","8264-027-009","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","8217-002-009","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","8208-023-055","Warehousing, Distribution, Storage","2007","3","65000"
"Existing","8208-014-036","Warehousing, Distribution, Storage","2013","3","65000"
"Existing","8208-011-008","Warehousing, Distribution, Storage","1990","3","65000"
"Existing","8206-019-056","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","8122-011-027","Warehousing, Distribution, Storage","2000","3","65000"
"Existing","8114-012-011","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","8011-015-002","Warehousing, Distribution, Storage","1993","3","65000"
"Existing","7503-013-011","Warehousing, Distribution, Storage","2001","3","65000"
"Existing","7351-034-072","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","7339-009-005","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","7318-009-116","Warehousing, Distribution, Storage","1998","3","65000"
"Existing","7316-028-009","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","7306-019-086","Warehousing, Distribution, Storage","1990","3","65000"
"Existing","7010-015-047","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","7001-012-047","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","6336-014-010","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","6336-013-017","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","6310-013-010","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","6132-005-014","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","5409-003-042","Warehousing, Distribution, Storage","2000","3","65000"
"Existing","5242-022-006","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","5224-008-008","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","5168-017-012","Warehousing, Distribution, Storage","2005","3","65000"
"Existing","5167-010-008","Warehousing, Distribution, Storage","2007","3","65000"
"Existing","5146-018-002","Warehousing, Distribution, Storage","1980","3","65000"
"Existing","4206-035-049","Warehousing, Distribution, Storage","1997","3","65000"
"Existing","4126-007-061","Warehousing, Distribution, Storage","1994","3","65000"
"Existing","3271-024-087","Warehousing, Distribution, Storage","1997","3","65000"
"Existing","2866-060-030","Warehousing, Distribution, Storage","2006","3","65000"
"Existing","2748-005-049","Warehousing, Distribution, Storage","2006","3","65000"
"Existing","2408-005-025","Warehousing, Distribution, Storage","1980","3","65000"
"Planned and Approved","slover logistics center","TBD","2025","3","65000"
"Existing","763350021","warehouse/dry storage","1980","3","64000"
"Existing","206122022","warehouse/dry storage","1984","3","64000"
"Existing","178060014","warehouse/dry storage","1985","3","64000"
"Existing","020726266","storage warehouse","2021","3","64000"
"Existing","022913126","transit warehouse (truck terminal)","2020","3","64000"
"Existing","023822112","storage warehouse","1984","3","64000"
"Existing","023818539","distribution warehouse","1986","3","64000"
"Existing","026002150","storage warehouse","2020","3","64000"
"Existing","026672105","storage warehouse","1990","3","64000"
"Existing","101214118","storage warehouse","2017","3","64000"
"Existing","108315107","storage warehouse","2004","3","64000"
"Existing","111014109","storage warehouse","2006","3","64000"
"Existing","8710-013-022","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","8595-016-023","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","8575-018-919","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","8563-003-005","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","8307-003-068","Warehousing, Distribution, Storage","2003","3","64000"
"Existing","8245-003-021","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","8242-015-042","Warehousing, Distribution, Storage","1981","3","64000"
"Existing","8242-011-047","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","8206-029-032","Warehousing, Distribution, Storage","2003","3","64000"
"Existing","7319-028-041","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","7065-001-033","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","7001-015-007","Warehousing, Distribution, Storage","1989","3","64000"
"Existing","6336-013-009","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","6304-026-030","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","6304-013-029","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","6303-028-011","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","6303-001-011","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","6284-013-003","Warehousing, Distribution, Storage","2004","3","64000"
"Existing","6150-037-043","Warehousing, Distribution, Storage","1985","3","64000"
"Existing","6132-044-027","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","6132-041-057","Warehousing, Distribution, Storage","2001","3","64000"
"Existing","6007-019-007","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","4143-015-010","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","4018-005-050","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","3126-032-103","Warehousing, Distribution, Storage","1997","3","64000"
"Existing","2866-063-001","Warehousing, Distribution, Storage","2008","3","64000"
"Existing","2866-008-027","Warehousing, Distribution, Storage","1983","3","64000"
"Existing","2866-008-001","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","2715-012-043","Warehousing, Distribution, Storage","1985","3","64000"
"Existing","2537-005-014","Warehousing, Distribution, Storage","1990","3","64000"
"Existing","2506-002-026","Warehousing, Distribution, Storage","1980","3","64000"
"Existing","2466-004-007","Warehousing, Distribution, Storage","1999","3","64000"
"Existing","456040040","warehouse/dry storage","2007","3","63000"
"Existing","156040090","warehouse/dry storage","1980","3","63000"
"Existing","666190014","warehouse/dry storage","2009","3","63000"
"Existing","246150020","warehouse/dry storage","1984","3","63000"
"Existing","163180008","warehouse/dry storage","1980","3","63000"
"Existing","366160075","warehouse/dry storage","1980","3","63000"
"Existing","263020083","light industrial","2016","3","63000"
"Existing","021127540","storage warehouse","2003","3","63000"
"Existing","021128145","storage warehouse","2004","3","63000"
"Existing","021123227","storage warehouse","1999","3","63000"
"Existing","022911170","storage warehouse","2001","3","63000"
"Existing","023610122","storage warehouse","1985","3","63000"
"Existing","026012114","storage warehouse","2007","3","63000"
"Existing","026672106","storage warehouse","1990","3","63000"
"Existing","028103187","distribution warehouse","1987","3","63000"
"Existing","101120127","storage warehouse","2017","3","63000"
"Existing","101131119","storage warehouse","1980","3","63000"
"Existing","8535-001-027","Warehousing, Distribution, Storage","1999","3","63000"
"Existing","8327-022-030","Warehousing, Distribution, Storage","2008","3","63000"
"Existing","8242-027-013","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","8242-025-047","Warehousing, Distribution, Storage","1987","3","63000"
"Existing","8123-014-054","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","8114-018-018","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","8059-028-043","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","8048-003-012","Warehousing, Distribution, Storage","2003","3","63000"
"Existing","8005-014-080","Warehousing, Distribution, Storage","1990","3","63000"
"Existing","7423-013-035","Warehousing, Distribution, Storage","1992","3","63000"
"Existing","7351-034-023","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","7318-013-021","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","7318-002-065","Warehousing, Distribution, Storage","1981","3","63000"
"Existing","7306-001-021","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","7001-010-059","Warehousing, Distribution, Storage","2018","3","63000"
"Existing","6356-018-010","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","6354-024-013","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","6132-043-080","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","6126-003-019","Warehousing, Distribution, Storage","1980","3","63000"
"Existing","5728-007-035","Warehousing, Distribution, Storage","1989","3","63000"
"Existing","5342-034-045","Warehousing, Distribution, Storage","2008","3","63000"
"Existing","5167-019-062","Warehousing, Distribution, Storage","1994","3","63000"
"Existing","3128-010-035","Warehousing, Distribution, Storage","1985","3","63000"
"Existing","2866-008-021","Warehousing, Distribution, Storage","1991","3","63000"
"Existing","2603-007-035","Warehousing, Distribution, Storage","2002","3","63000"
"Existing","263020084","light industrial","2016","3","62000"
"Existing","011339546","storage warehouse","2002","3","62000"
"Existing","011321141","storage warehouse","2021","3","62000"
"Existing","013632155","storage warehouse","2008","3","62000"
"Existing","020925111","distribution warehouse","1980","3","62000"
"Existing","022912145","distribution warehouse","1990","3","62000"
"Existing","023822134","distribution warehouse","1986","3","62000"
"Existing","027702258","transit warehouse (truck terminal)","1987","3","62000"
"Existing","027927144","distribution warehouse","2008","3","62000"
"Existing","041527105","storage warehouse","1987","3","62000"
"Existing","102113216","storage warehouse","2017","3","62000"
"Existing","102120216","storage warehouse","2002","3","62000"
"Existing","105016107","storage warehouse","2017","3","62000"
"Existing","8760-025-030","Warehousing, Distribution, Storage","1998","3","62000"
"Existing","8720-025-069","Warehousing, Distribution, Storage","2020","3","62000"
"Existing","8707-015-054","Warehousing, Distribution, Storage","1981","3","62000"
"Existing","8545-024-011","Warehousing, Distribution, Storage","2000","3","62000"
"Existing","8536-001-024","Warehousing, Distribution, Storage","2000","3","62000"
"Existing","8533-011-069","Warehousing, Distribution, Storage","1987","3","62000"
"Existing","8382-019-014","Warehousing, Distribution, Storage","1982","3","62000"
"Existing","8382-005-028","Warehousing, Distribution, Storage","1987","3","62000"
"Existing","8378-013-079","Warehousing, Distribution, Storage","2004","3","62000"
"Existing","8330-013-033","Warehousing, Distribution, Storage","1981","3","62000"
"Existing","8330-013-032","Warehousing, Distribution, Storage","1981","3","62000"
"Existing","8328-011-035","Warehousing, Distribution, Storage","1990","3","62000"
"Existing","8264-023-001","Warehousing, Distribution, Storage","1997","3","62000"
"Existing","8242-027-004","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","8208-005-009","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","8168-017-018","Warehousing, Distribution, Storage","1985","3","62000"
"Existing","7357-029-027","Warehousing, Distribution, Storage","1989","3","62000"
"Existing","7319-033-064","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","7319-003-033","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","7318-013-033","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","7306-015-013","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","6369-010-002","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","6332-008-002","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","6332-006-024","Warehousing, Distribution, Storage","1996","3","62000"
"Existing","6332-006-015","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","6318-007-007","Warehousing, Distribution, Storage","1998","3","62000"
"Existing","6310-004-014","Warehousing, Distribution, Storage","1988","3","62000"
"Existing","6303-021-005","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","6302-020-047","Warehousing, Distribution, Storage","1991","3","62000"
"Existing","5458-012-011","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","5373-027-003","Warehousing, Distribution, Storage","1983","3","62000"
"Existing","5342-033-028","Warehousing, Distribution, Storage","1988","3","62000"
"Existing","5192-029-807","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","3122-038-046","Warehousing, Distribution, Storage","2007","3","62000"
"Existing","2866-063-002","Warehousing, Distribution, Storage","2008","3","62000"
"Existing","2859-001-036","Warehousing, Distribution, Storage","1998","3","62000"
"Existing","2811-027-046","Warehousing, Distribution, Storage","1990","3","62000"
"Existing","2746-010-035","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","2466-009-007","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","2463-001-015","Warehousing, Distribution, Storage","1980","3","62000"
"Existing","2212-028-007","Warehousing, Distribution, Storage","1998","3","62000"
"Planned and Approved","goodman industrial park iii","TBD","2025","3","62000"
"Planned and Approved","slover industrial warehouse","TBD","2025","3","62000"
"Existing","626330042","warehouse/dry storage","2001","3","61000"
"Existing","189280053","warehouse/dry storage","1981","3","61000"
"Existing","249070031","warehouse/dry storage","2003","3","61000"
"Existing","177150009","warehouse/dry storage","1980","3","61000"
"Existing","435211082","warehouse/dry storage","1980","3","61000"
"Existing","019113141","storage warehouse","1980","3","61000"
"Existing","021127516","storage warehouse","1990","3","61000"
"Existing","020914326","storage warehouse","1980","3","61000"
"Existing","022911179","storage warehouse","2005","3","61000"
"Existing","022911176","storage warehouse","2005","3","61000"
"Existing","026019104","distribution warehouse","2021","3","61000"
"Existing","039713201","storage warehouse","1991","3","61000"
"Existing","101131113","storage warehouse","2019","3","61000"
"Existing","102139141","distribution warehouse","1988","3","61000"
"Existing","111014105","storage warehouse","1990","3","61000"
"Existing","312926168","storage warehouse","2002","3","61000"
"Existing","8565-001-007","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","8535-023-001","Warehousing, Distribution, Storage","1988","3","61000"
"Existing","8382-001-050","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","8382-001-049","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","8330-013-054","Warehousing, Distribution, Storage","2000","3","61000"
"Existing","8168-027-402","Warehousing, Distribution, Storage","1990","3","61000"
"Existing","8059-005-020","Warehousing, Distribution, Storage","1987","3","61000"
"Existing","8009-025-071","Warehousing, Distribution, Storage","2000","3","61000"
"Existing","8009-022-047","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","8009-007-036","Warehousing, Distribution, Storage","1987","3","61000"
"Existing","8005-012-036","Warehousing, Distribution, Storage","1991","3","61000"
"Existing","7402-021-039","Warehousing, Distribution, Storage","2003","3","61000"
"Existing","7319-034-015","Warehousing, Distribution, Storage","1981","3","61000"
"Existing","7212-005-072","Warehousing, Distribution, Storage","1996","3","61000"
"Existing","7102-012-015","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","7010-016-040","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","7010-016-017","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","7003-001-037","Warehousing, Distribution, Storage","1989","3","61000"
"Existing","7001-020-031","Warehousing, Distribution, Storage","2000","3","61000"
"Existing","7001-010-054","Warehousing, Distribution, Storage","1984","3","61000"
"Existing","6336-012-014","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","6336-003-039","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","6332-007-018","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","6304-017-011","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","6241-013-028","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","6240-009-110","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","6125-004-001","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","5442-001-001","Warehousing, Distribution, Storage","1998","3","61000"
"Existing","5276-022-012","Warehousing, Distribution, Storage","1985","3","61000"
"Existing","4032-003-059","Warehousing, Distribution, Storage","1990","3","61000"
"Existing","4032-002-040","Warehousing, Distribution, Storage","1987","3","61000"
